"Subfolder","Size","Count"
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/lt-lt/",400,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/da-dk/",395,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/da-dk/",395,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/da-dk/",395,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/ro-ro/",393,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/ro-ro/",393,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/ro-ro/",393,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/lv-lv/",392,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/lv-lv/",392,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/lv-lv/",392,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/nb-no/",391,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/nb-no/",391,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/nb-no/",391,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/tr-tr/",390,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/tr-tr/",390,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/tr-tr/",390,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/nl-nl/",389,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/nl-nl/",389,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/nl-nl/",389,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/gl-es/",382,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/gl-es/",382,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/gl-es/",382,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/hr-hr/",382,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/hr-hr/",382,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/hr-hr/",382,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/cs-cz/",379,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/cs-cz/",379,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/cs-cz/",379,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/sv-se/",378,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/sk-sk/",378,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/sk-sk/",378,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/sv-se/",378,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/sk-sk/",378,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/sv-se/",378,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/fi-fi/",377,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/fi-fi/",377,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/fi-fi/",377,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/bs-latn-ba/",376,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/bs-latn-ba/",376,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/bs-latn-ba/",376,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/eu-es/",373,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/eu-es/",373,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/eu-es/",373,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/id-id/",365,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/id-id/",365,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/id-id/",365,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/ms-my/",363,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/ms-my/",363,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/ms-my/",363,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/sr-Latn-RS/",360,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/sr-Latn-RS/",360,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/sr-Latn-RS/",360,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/et-ee/",358,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/et-ee/",358,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/en-us/",358,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/en-us/",358,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/en-us/",358,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/et-ee/",358,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/zh-tw/",341,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/zh-cn/",341,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/zh-cn/",341,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/zh-cn/",341,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/zh-tw/",341,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/zh-tw/",341,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Team Site/Master Page Gallery/Display Templates/Language Files/sl-si/",331,1
"/Ohio/GRU-WS/Microsoft/SharePoint/All Company/Master Page Gallery/Display Templates/Language Files/sl-si/",331,1
"/Ohio/GRU-WS/Microsoft/SharePoint/Communication site/Master Page Gallery/Display Templates/Language Files/sl-si/",331,1
